| Scale factor | Min. neighbors | IoU |
| 1.05 | 1.00 | 0.2617 |
| 1.05 | 2.00 | 0.2663 |
| 1.05 | 3.00 | 0.2502 |
| 1.05 | 4.00 | 0.2522 |
| 1.10 | 1.00 | 0.2654 |
| 1.10 | 2.00 | 0.2463 |
| 1.10 | 3.00 | 0.2379 |
| 1.10 | 4.00 | 0.2050 |
| 1.15 | 1.00 | 0.2503 |
| 1.15 | 2.00 | 0.2177 |
| 1.15 | 3.00 | 0.2029 |
| 1.15 | 4.00 | 0.1805 |
| 1.20 | 1.00 | 0.2227 |
| 1.20 | 2.00 | 0.2030 |
| 1.20 | 3.00 | 0.1697 |
| 1.20 | 4.00 | 0.1524 |
| 1.25 | 1.00 | 0.2281 |
| 1.25 | 2.00 | 0.1847 |
| 1.25 | 3.00 | 0.1466 |
| 1.25 | 4.00 | 0.1263 |
| 1.30 | 1.00 | 0.1970 |
| 1.30 | 2.00 | 0.1555 |
| 1.30 | 3.00 | 0.1282 |
| 1.30 | 4.00 | 0.0974 |
