| Threshold | Scale factor | Min. neighbors | Precision | Recall |
| 0.00 | 1.05 | 1.00 | 1.00 | 0.76 |
| 0.00 | 1.05 | 2.00 | 1.00 | 0.69 |
| 0.00 | 1.05 | 3.00 | 1.00 | 0.64 |
| 0.00 | 1.05 | 4.00 | 1.00 | 0.60 |
| 0.00 | 1.10 | 1.00 | 1.00 | 0.60 |
| 0.00 | 1.10 | 2.00 | 1.00 | 0.58 |
| 0.00 | 1.10 | 3.00 | 1.00 | 0.56 |
| 0.00 | 1.10 | 4.00 | 1.00 | 0.53 |
| 0.00 | 1.15 | 1.00 | 1.00 | 0.53 |
| 0.00 | 1.15 | 2.00 | 1.00 | 0.52 |
| 0.00 | 1.15 | 3.00 | 1.00 | 0.50 |
| 0.00 | 1.15 | 4.00 | 1.00 | 0.49 |
| 0.00 | 1.20 | 1.00 | 1.00 | 0.48 |
| 0.00 | 1.20 | 2.00 | 1.00 | 0.47 |
| 0.00 | 1.20 | 3.00 | 1.00 | 0.46 |
| 0.00 | 1.20 | 4.00 | 1.00 | 0.45 |
| 0.00 | 1.25 | 1.00 | 1.00 | 0.44 |
| 0.00 | 1.25 | 2.00 | 1.00 | 0.44 |
| 0.00 | 1.25 | 3.00 | 1.00 | 0.43 |
| 0.00 | 1.25 | 4.00 | 1.00 | 0.41 |
| 0.00 | 1.30 | 1.00 | 1.00 | 0.41 |
| 0.00 | 1.30 | 2.00 | 1.00 | 0.41 |
| 0.00 | 1.30 | 3.00 | 1.00 | 0.40 |
| 0.00 | 1.30 | 4.00 | 1.00 | 0.39 |
| 0.01 | 1.05 | 1.00 | 0.55 | 0.64 |
| 0.01 | 1.05 | 2.00 | 0.61 | 0.58 |
| 0.01 | 1.05 | 3.00 | 0.65 | 0.53 |
| 0.01 | 1.05 | 4.00 | 0.68 | 0.50 |
| 0.01 | 1.10 | 1.00 | 0.68 | 0.51 |
| 0.01 | 1.10 | 2.00 | 0.70 | 0.49 |
| 0.01 | 1.10 | 3.00 | 0.72 | 0.48 |
| 0.01 | 1.10 | 4.00 | 0.73 | 0.45 |
| 0.01 | 1.15 | 1.00 | 0.73 | 0.45 |
| 0.01 | 1.15 | 2.00 | 0.74 | 0.44 |
| 0.01 | 1.15 | 3.00 | 0.75 | 0.43 |
| 0.01 | 1.15 | 4.00 | 0.76 | 0.42 |
| 0.01 | 1.20 | 1.00 | 0.76 | 0.42 |
| 0.01 | 1.20 | 2.00 | 0.77 | 0.41 |
| 0.01 | 1.20 | 3.00 | 0.78 | 0.40 |
| 0.01 | 1.20 | 4.00 | 0.78 | 0.39 |
| 0.01 | 1.25 | 1.00 | 0.79 | 0.39 |
| 0.01 | 1.25 | 2.00 | 0.79 | 0.38 |
| 0.01 | 1.25 | 3.00 | 0.80 | 0.37 |
| 0.01 | 1.25 | 4.00 | 0.80 | 0.36 |
| 0.01 | 1.30 | 1.00 | 0.80 | 0.36 |
| 0.01 | 1.30 | 2.00 | 0.81 | 0.35 |
| 0.01 | 1.30 | 3.00 | 0.81 | 0.35 |
| 0.01 | 1.30 | 4.00 | 0.81 | 0.34 |
| 0.02 | 1.05 | 1.00 | 0.55 | 0.64 |
| 0.02 | 1.05 | 2.00 | 0.61 | 0.58 |
| 0.02 | 1.05 | 3.00 | 0.64 | 0.53 |
| 0.02 | 1.05 | 4.00 | 0.68 | 0.50 |
| 0.02 | 1.10 | 1.00 | 0.68 | 0.51 |
| 0.02 | 1.10 | 2.00 | 0.70 | 0.49 |
| 0.02 | 1.10 | 3.00 | 0.72 | 0.47 |
| 0.02 | 1.10 | 4.00 | 0.73 | 0.45 |
| 0.02 | 1.15 | 1.00 | 0.73 | 0.45 |
| 0.02 | 1.15 | 2.00 | 0.74 | 0.44 |
| 0.02 | 1.15 | 3.00 | 0.75 | 0.43 |
| 0.02 | 1.15 | 4.00 | 0.76 | 0.42 |
| 0.02 | 1.20 | 1.00 | 0.76 | 0.42 |
| 0.02 | 1.20 | 2.00 | 0.77 | 0.41 |
| 0.02 | 1.20 | 3.00 | 0.77 | 0.40 |
| 0.02 | 1.20 | 4.00 | 0.78 | 0.39 |
| 0.02 | 1.25 | 1.00 | 0.78 | 0.39 |
| 0.02 | 1.25 | 2.00 | 0.79 | 0.38 |
| 0.02 | 1.25 | 3.00 | 0.80 | 0.37 |
| 0.02 | 1.25 | 4.00 | 0.80 | 0.36 |
| 0.02 | 1.30 | 1.00 | 0.80 | 0.36 |
| 0.02 | 1.30 | 2.00 | 0.80 | 0.35 |
| 0.02 | 1.30 | 3.00 | 0.81 | 0.35 |
| 0.02 | 1.30 | 4.00 | 0.81 | 0.34 |
| 0.03 | 1.05 | 1.00 | 0.55 | 0.63 |
| 0.03 | 1.05 | 2.00 | 0.61 | 0.58 |
| 0.03 | 1.05 | 3.00 | 0.64 | 0.53 |
| 0.03 | 1.05 | 4.00 | 0.68 | 0.50 |
| 0.03 | 1.10 | 1.00 | 0.68 | 0.51 |
| 0.03 | 1.10 | 2.00 | 0.69 | 0.49 |
| 0.03 | 1.10 | 3.00 | 0.71 | 0.47 |
| 0.03 | 1.10 | 4.00 | 0.73 | 0.45 |
| 0.03 | 1.15 | 1.00 | 0.73 | 0.45 |
| 0.03 | 1.15 | 2.00 | 0.74 | 0.44 |
